"","inf_init","end_inf","sumrow_max","time_max"
"1",0,0,0,0
"2",1,221836.317665993,251860.528472276,4.7
"3",21,222279.94591932,252369.599052371,3.5
"4",41,222723.574175331,252900.659873939,3.2
"5",61,223167.202438773,253347.037352014,3
"6",81,223610.830705339,253914.570827135,2.9
"7",101,224054.45897352,254414.994289214,2.8
"8",121,224498.087242735,254936.202360208,2.8
"9",141,224941.715512445,255517.127924993,2.7
"10",161,225385.343782875,255971.476702637,2.6
"11",181,225828.972053405,256571.948269606,2.6
"12",201,226272.600324207,257011.346851581,2.6
"13",221,226716.228595254,257629.816350538,2.5
"14",241,227159.856866372,258139.909958225,2.5
"15",261,227603.485137715,258633.524560891,2.4
"16",281,228047.11340916,259229.465779816,2.4
"17",301,228490.741680636,259751.31303337,2.4
"18",321,228934.36995211,260216.750081312,2.4
"19",341,229377.998223871,260810.924583834,2.3
"20",361,229821.626495441,261376.096237683,2.3
"21",381,230265.254767172,261896.63005257,2.3
"22",401,230708.883038955,262380.998513836,2.3
"23",421,231152.511310845,262940.358994611,2.2
"24",441,231596.139582794,263523.086405327,2.2
"25",461,232039.76785458,264073.074761623,2.2
"26",481,232483.396126563,264595.432150415,2.2
"27",501,232927.024398444,265094.344575674,2.2
"28",521,233370.652670411,265625.076008299,2.1
"29",541,233814.280942333,266217.000587166,2.1
"30",561,234257.909214332,266785.316081581,2.1
"31",581,234701.537486444,267332.997914516,2.1
"32",601,235145.165758433,267862.613308781,2.1
"33",621,235588.794030478,268376.324352454,2.1
"34",641,236032.422302599,268876.055936039,2.1
"35",661,236476.050574587,269463.92674424,2
"36",681,236919.67884666,270046.79390499,2
"37",701,237363.307118722,270614.293146859,2
"38",721,237806.935390904,271167.766314684,2
"39",741,238250.563662968,271708.698171384,2
"40",761,238694.191935147,272238.299312134,2
"41",781,239137.820207226,272757.628485456,2
"42",801,239581.448479408,273267.714000846,2
"43",821,240025.076751544,273861.246903011,1.9
"44",841,240468.705023612,274446.270402582,1.9
"45",861,240912.333295787,275020.417289875,1.9
"46",881,241355.961567932,275584.559934865,1.9
"47",901,241799.58984005,276139.575099526,1.9
"48",921,242243.218112299,276685.986542998,1.9
"49",941,242686.84638451,277224.564045006,1.9
"50",961,243130.474656659,277755.898471573,1.9
"51",981,243574.102928875,278280.537952939,1.9
"52",1001,244017.731201042,278828.114904819,1.8
"53",1021,244461.359473293,279421.586934656,1.8
"54",1041,244904.987745481,280006.941683028,1.8
"55",1061,245348.61601763,280584.707240112,1.8
"56",1081,245792.24428979,281155.371111981,1.8
"57",1101,246235.872561996,281719.383738932,1.8
"58",1121,246679.500834251,282277.160028723,1.8
"59",1141,247123.129106392,282829.085945102,1.8
"60",1161,247566.757378643,283375.520374687,1.8
"61",1181,248010.385650839,283916.79668765,1.8
"62",1201,248454.013923099,284453.224953687,1.8
"63",1221,248897.642195356,284985.09288548,1.8
"64",1241,249341.270467542,285570.554370409,1.7
"65",1261,249784.898739728,286164.014769291,1.7
"66",1281,250228.527011961,286751.77417385,1.7
"67",1301,250672.155284304,287334.128015846,1.7
"68",1321,251115.783556514,287911.352738503,1.7
"69",1341,251559.411828735,288483.708697151,1.7
"70",1361,252003.04010092,289051.441422067,1.7
"71",1381,252446.668373258,289614.781718916,1.7
"72",1401,252890.296645431,290173.946712864,1.7
"73",1421,253333.9249177,290729.140808675,1.7
"74",1441,253777.553189981,291280.55657622,1.7
"75",1461,254221.181462172,291828.339962319,1.7
"76",1481,254664.809734422,292372.677765507,1.7
"77",1501,255108.438006651,292918.791911486,1.6
"78",1521,255552.066278911,293520.276057727,1.6
"79",1541,255995.694551163,294117.447277295,1.6
"80",1561,256439.322823409,294710.476946175,1.6
"81",1581,256882.951095666,295299.52776452,1.6
"82",1601,257326.579367925,295884.758856546,1.6
"83",1621,257770.207640281,296466.326591685,1.6
"84",1641,258213.835912544,297044.387651668,1.6
"85",1661,258657.464184781,297619.082799125,1.6
"86",1681,259101.092456964,298190.545874821,1.6
"87",1701,259544.720729204,298758.904238672,1.6
"88",1721,259988.349001574,299324.279373135,1.6
"89",1741,260431.977273753,299886.789584336,1.6
"90",1761,260875.605546088,300446.635688149,1.6
"91",1781,261319.23381835,301003.738945362,1.6
"92",1801,261762.862090613,301558.291393547,1.6
"93",1821,262206.490362877,302110.389013658,1.6
"94",1841,262650.118635141,302712.445127586,1.5
"95",1861,263093.746907407,303316.662763439,1.5
"96",1881,263537.375179674,303917.742126499,1.5
"97",1901,263981.003451941,304515.789516056,1.5
"98",1921,264424.631724209,305110.906789144,1.5
"99",1941,264868.259996495,305703.077621177,1.5
"100",1961,265311.888268775,306292.629133899,1.5
"101",1981,265755.516541054,306879.531264691,1.5
"102",2001,266199.14481332,307463.870552918,1.5
"103",2021,266642.773085662,308045.72957815,1.5
"104",2041,267086.401357854,308625.187077485,1.5
"105",2061,267530.029630142,309202.319519555,1.5
"106",2081,267973.657902422,309777.198587748,1.5
"107",2101,268417.286174726,310349.895000468,1.5
"108",2121,268860.914446937,310920.478539482,1.5
"109",2141,269304.542719298,311489.014583668,1.5
"110",2161,269748.170991539,312055.566478695,1.5
"111",2181,270191.799263868,312620.194528842,1.5
"112",2201,270635.427536096,313184.591360374,1.4
"113",2221,271079.055808409,313798.742542232,1.4
"114",2241,271522.684080698,314410.346195419,1.4
"115",2261,271966.312352981,315019.608987412,1.4
"116",2281,272409.940625218,315626.549526501,1.4
"117",2301,272853.568897519,316231.231328473,1.4
"118",2321,273297.197169824,316833.71406322,1.4
"119",2341,273740.825442073,317434.057449267,1.4
"120",2361,274184.453714434,318032.320179891,1.4
"121",2381,274628.08198664,318628.597216756,1.4
"122",2401,275071.710259017,319222.862082537,1.4
"123",2421,275515.338531306,319815.206358045,1.4
"124",2441,275958.966803503,320405.680064638,1.4
"125",2461,276402.595075795,320994.331599781,1.4
"126",2481,276846.223348113,321581.207611453,1.4
"127",2501,277289.851620397,322166.353807565,1.4
"128",2521,277733.479892672,322749.813561444,1.4
"129",2541,278177.108164961,323331.626941979,1.4
"130",2561,278620.73643725,323911.83809745,1.4
"131",2581,279064.364709624,324490.452872758,1.4
"132",2601,279507.992981915,325067.578321973,1.4
"133",2621,279951.621254172,325643.217860342,1.4
"134",2641,280395.249526455,326225.664544792,1.3
"135",2661,280838.877798703,326848.279110588,1.3
"136",2681,281282.506070992,327469.001877219,1.3
"137",2701,281726.134343362,328087.875665464,1.3
"138",2721,282169.762615654,328704.942075663,1.3
"139",2741,282613.390887946,329320.241529406,1.3
"140",2761,283057.019160225,329933.813309825,1.3
"141",2781,283500.647432521,330545.695600034,1.3
"142",2801,283944.275704816,331155.925533197,1.3
"143",2821,284387.903977136,331764.53929887,1.3
"144",2841,284831.532249327,332371.571659509,1.3
"145",2861,285275.160521695,332977.056715665,1.3
"146",2881,285718.788793977,333581.027639389,1.3
"147",2901,286162.417066295,334183.516705187,1.3
"148",2921,286606.045338567,334784.555319183,1.3
"149",2941,287049.673610912,335384.17404759,1.3
"150",2961,287493.301883155,335982.402644082,1.3
"151",2981,287936.930155447,336579.270075529,1.3
