"","N.patches","out1","outk","diff","out.pred.1","out.pred.k","max.inf.1","max.inf.k"
"1",0,0,0,0,0,0,0,0
"2",1,90.6522039004751,90.0644147123568,0.00652631996771979,89.3903510787106,89.3903510787106,9705.49199547487,9713.28943934101
"3",2,90.6522039004751,90.0588090301061,0.00658897088202237,89.3903510787106,89.3616819999229,9705.49199547487,9713.2302544268
"4",3,90.6522039004751,89.9817746015245,0.00745072323722788,89.3903510787106,89.3523141249823,9705.49199547487,9713.09130278623
"5",4,90.6522039004751,89.9826790018328,0.00744059752464804,89.3903510787106,89.3476647625621,9705.49199547487,9709.64988938109
"6",5,90.6522039004751,89.9587145903083,0.00770897309199081,89.3903510787106,89.3448861133139,9705.49199547487,9707.30253538548
"7",6,90.6522039004751,89.9448494900289,0.00786431256994434,89.3903510787106,89.3430382285964,9705.49199547487,9705.72507569256
"8",7,90.6522039004751,89.8933086518754,0.00844217728750631,89.3903510787106,89.3417205317085,9705.49199547487,9706.45923429765
"9",8,90.6522039004751,89.8303972547758,0.0091484249297979,89.3903510787106,89.3407334709001,9705.49199547487,9705.28969815489
"10",9,90.6522039004751,89.8564050640643,0.00885633957694382,89.3903510787106,89.3399664739266,9705.49199547487,9706.24433701345
"11",10,90.6522039004751,89.895236480698,0.00842055095922292,89.3903510787106,89.339353327493,9705.49199547487,9707.0760842914
"12",11,90.6522039004751,89.9042859972787,0.00831904613778931,89.3903510787106,89.3388519602144,9705.49199547487,9706.28491103763
"13",12,90.6522039004751,89.9232151792673,0.00810679110788626,89.3903510787106,89.3384343588497,9705.49199547487,9705.60115595164
"14",13,90.6522039004751,89.9005493596173,0.00836095603655385,89.3903510787106,89.3380811491022,9705.49199547487,9706.15585344893
"15",14,90.6522039004751,89.8607019792936,0.00880809857643752,89.3903510787106,89.3377785038061,9705.49199547487,9705.49394531764
"16",15,90.6522039004751,89.8591063635342,0.00882601184272098,89.3903510787106,89.3375162902624,9705.49199547487,9706.02536715058
"17",16,90.6522039004751,89.8674185316364,0.00873270181408895,89.3903510787106,89.3372869135976,9705.49199547487,9705.50805860772
"18",17,90.6522039004751,89.8762336835919,0.00863376428984507,89.3903510787106,89.3370845690552,9705.49199547487,9705.18179811289
"19",18,90.6522039004751,89.8857836316941,0.00852660162502865,89.3903510787106,89.3369047439294,9705.49199547487,9705.665366026
"20",19,90.6522039004751,89.8943785054444,0.00843017558639422,89.3903510787106,89.3367438770264,9705.49199547487,9705.25138143499
"21",20,90.6522039004751,89.8850570346767,0.00853475417501688,89.3903510787106,89.3365991204369,9705.49199547487,9705.2924844036
"22",21,90.6522039004751,89.8719654515572,0.00868166669102716,89.3903510787106,89.336468169469,9705.49199547487,9705.09341908094
"23",22,90.6522039004751,89.8749911512497,0.00864770877047884,89.3903510787106,89.3363491390252,9705.49199547487,9704.73579074714
"24",23,90.6522039004751,89.8784463652955,0.00860893313659199,89.3903510787106,89.3362404722695,9705.49199547487,9704.4218621357
"25",24,90.6522039004751,89.8866844825164,0.00851649409882934,89.3903510787106,89.3361408721559,9705.49199547487,9704.81776461418
"26",25,90.6522039004751,89.9048019168395,0.00831325988935358,89.3903510787106,89.3360492494097,9705.49199547487,9705.22651545139
"27",26,90.6522039004751,89.9183150934747,0.00816172774409176,89.3903510787106,89.3359646825258,9705.49199547487,9705.30856631788
"28",27,90.6522039004751,89.9171052719903,0.00817529241250855,89.3903510787106,89.3358863866672,9705.49199547487,9705.58023112578
"29",28,90.6522039004751,89.9109939349522,0.00824381906020459,89.3903510787106,89.3358136892338,9705.49199547487,9705.30855121235
"30",29,90.6522039004751,89.9055318372453,0.00830507364754261,89.3903510787106,89.3357460104919,9705.49199547487,9705.57197210129
"31",30,90.6522039004751,89.9080225107353,0.00827714111553147,89.3903510787106,89.3356828480812,9705.49199547487,9705.83999939098
"32",31,90.6522039004751,89.9158585818516,0.00818927083872722,89.3903510787106,89.3356237645236,9705.49199547487,9705.5903467456
"33",32,90.6522039004751,89.9180512507958,0.00816468594978305,89.3903510787106,89.3355683770758,9705.49199547487,9705.84205626279
"34",33,90.6522039004751,89.9099686315854,0.00825531673724723,89.3903510787106,89.335516349429,9705.49199547487,9706.05431066711
"35",34,90.6522039004751,89.9192005980473,0.0081517995884378,89.3903510787106,89.3354673848742,9705.49199547487,9706.30579865993
"36",35,90.6522039004751,89.9249774982118,0.00808703457587984,89.3903510787106,89.3354212206405,9705.49199547487,9706.5331754627
"37",36,90.6522039004751,89.9298726270173,0.00803216164281296,89.3903510787106,89.3353776231775,9705.49199547487,9706.73728231915
"38",37,90.6522039004751,89.9180937842623,0.00816420906312968,89.3903510787106,89.3353363842035,9705.49199547487,9706.88632302096
"39",38,90.6522039004751,89.9191232874295,0.00815266637667558,89.3903510787106,89.3352973173784,9705.49199547487,9707.0673569891
"40",39,90.6522039004751,89.9140045002999,0.00821006031571819,89.3903510787106,89.3352602554879,9705.49199547487,9706.83402027206
"41",40,90.6522039004751,89.9082876033807,0.00827416823214447,89.3903510787106,89.3352250480516,9705.49199547487,9706.60190730978
"42",41,90.6522039004751,89.9138358614871,0.0082119512743898,89.3903510787106,89.3351915592806,9705.49199547487,9706.43931316209
"43",42,90.6522039004751,89.9047580237838,0.00831375216530346,89.3903510787106,89.3351596663273,9705.49199547487,9706.59702189165
"44",43,90.6522039004751,89.9071182136924,0.00828728249315859,89.3903510787106,89.3351292577797,9705.49199547487,9706.4056377688
"45",44,90.6522039004751,89.9071286675876,0.00828716525518493,89.3903510787106,89.3351002323607,9705.49199547487,9706.5726416211
"46",45,90.6522039004751,89.9037201798408,0.00832539208763547,89.3903510787106,89.3350724978017,9705.49199547487,9706.40347691727
"47",46,90.6522039004751,89.9068589388934,0.00829019020771573,89.3903510787106,89.3350459698623,9705.49199547487,9706.23438024741
"48",47,90.6522039004751,89.9078771869473,0.00827877085764263,89.3903510787106,89.3350205714763,9705.49199547487,9706.11092011637
"49",48,90.6522039004751,89.9135753649417,0.00821487225411054,89.3903510787106,89.3349962320034,9705.49199547487,9706.27784532076
"50",49,90.6522039004751,89.9196286650092,0.00814700023056177,89.3903510787106,89.3349728865733,9705.49199547487,9706.4418038301
"51",50,90.6522039004751,89.9374429108012,0.00794731278253942,89.3903510787106,89.3349504755085,9705.49199547487,9706.34456363094
"52",51,90.6522039004751,89.9362393014832,0.0079608020587995,89.3903510787106,89.3349289438146,9705.49199547487,9706.17954152984
"53",52,90.6522039004751,89.9356383923092,0.00796753679603793,89.3903510787106,89.3349082407302,9705.49199547487,9706.02120470189
"54",53,90.6522039004751,89.9367749380168,0.00795479894571854,89.3903510787106,89.3348883193269,9705.49199547487,9705.87412723005
"55",54,90.6522039004751,89.9326714650024,0.00800079018838771,89.3903510787106,89.3348691361542,9705.49199547487,9705.72028235333
"56",55,90.6522039004751,89.9299608049929,0.00803117324879405,89.3903510787106,89.3348506509236,9705.49199547487,9705.57780816126
"57",56,90.6522039004751,89.9293095185984,0.00803847361607091,89.3903510787106,89.3348328262257,9705.49199547487,9705.44714110693
"58",57,90.6522039004751,89.9411282367776,0.00790601227311227,89.3903510787106,89.3348156272779,9705.49199547487,9705.44633685862
"59",58,90.6522039004751,89.9459902193438,0.00785153045076436,89.3903510787106,89.3347990216972,9705.49199547487,9705.88326941762
"60",59,90.6522039004751,89.9467505830327,0.00784301059092934,89.3903510787106,89.3347829792976,9705.49199547487,9705.75390596876
"61",60,90.6522039004751,89.9526958759046,0.00777639866998022,89.3903510787106,89.3347674719061,9705.49199547487,9705.89881554546
"62",61,90.6522039004751,89.9533654634242,0.00776889706628112,89.3903510787106,89.3347524731982,9705.49199547487,9705.77328296884
"63",62,90.6522039004751,89.9480294043285,0.00782868174889371,89.3903510787106,89.3347379585486,9705.49199547487,9705.6391955642
"64",63,90.6522039004751,89.9469603431362,0.00784066025853986,89.3903510787106,89.3347239048962,9705.49199547487,9705.76418467071
"65",64,90.6522039004751,89.9423833098352,0.00789194776165383,89.3903510787106,89.3347102906217,9705.49199547487,9705.6395573577
"66",65,90.6522039004751,89.9330259501603,0.00799681699483064,89.3903510787106,89.3346970954371,9705.49199547487,9705.73846732486
"67",66,90.6522039004751,89.9274830013577,0.00805894788700376,89.3903510787106,89.3346843002844,9705.49199547487,9705.61219134288
"68",67,90.6522039004751,89.9324903166145,0.00800282057493144,89.3903510787106,89.3346718872437,9705.49199547487,9705.74480398658
"69",68,90.6522039004751,89.9355994706715,0.00796797301648322,89.3903510787106,89.33465983945,9705.49199547487,9705.64056735625
"70",69,90.6522039004751,89.935815146087,0.00796555580470837,89.3903510787106,89.3346481410163,9705.49199547487,9705.5448008346
"71",70,90.6522039004751,89.9354579969184,0.00796955860925542,89.3903510787106,89.3346367769635,9705.49199547487,9705.43090236548
"72",71,90.6522039004751,89.9382611101389,0.00793814313867892,89.3903510787106,89.3346257331573,9705.49199547487,9705.32667375988
"73",72,90.6522039004751,89.9378490623189,0.0079427609799874,89.3903510787106,89.3346149962485,9705.49199547487,9705.22279096969
"74",73,90.6522039004751,89.9304392318653,0.0080258105573007,89.3903510787106,89.3346045536197,9705.49199547487,9705.10992517007
"75",74,90.6522039004751,89.9348657774328,0.00797619607080473,89.3903510787106,89.3345943933361,9705.49199547487,9705.23728604567
"76",75,90.6522039004751,89.9344234033304,0.00798115415635253,89.3903510787106,89.3345845040994,9705.49199547487,9705.13807851387
"77",76,90.6522039004751,89.930604941964,0.00802395312448655,89.3903510787106,89.3345748752062,9705.49199547487,9705.04177632061
"78",77,90.6522039004751,89.9252630761131,0.00808383316873579,89.3903510787106,89.3345654965094,9705.49199547487,9704.93855434816
"79",78,90.6522039004751,89.9266324122656,0.0080684828147812,89.3903510787106,89.3345563583825,9705.49199547487,9705.05841036773
"80",79,90.6522039004751,89.9205756924468,0.00813638260647545,89.3903510787106,89.3345474516865,9705.49199547487,9704.95368833453
"81",80,90.6522039004751,89.9189356102124,0.00815477057514702,89.3903510787106,89.3345387677396,9705.49199547487,9705.06415014264
"82",81,90.6522039004751,89.9228153612588,0.00811127338802733,89.3903510787106,89.3345302982888,9705.49199547487,9704.98271723348
"83",82,90.6522039004751,89.9220118328607,0.00812028170556933,89.3903510787106,89.3345220354838,9705.49199547487,9704.89336034075
"84",83,90.6522039004751,89.9229141860466,0.00811016547928635,89.3903510787106,89.334513971853,9705.49199547487,9705.00224295343
