"","beta","gamma","N","muw","state"
"2",0.01,0.8,100,0.01,TRUE
"3",0.01,0.8,100,0.02,TRUE
"4",0.01,0.8,100,0.03,TRUE
"5",0.01,0.8,100,0.04,TRUE
"6",0.01,0.8,100,0.05,TRUE
"7",0.01,0.8,100,0.06,TRUE
"8",0.01,0.8,100,0.07,TRUE
"9",0.01,0.8,100,0.08,TRUE
"10",0.01,0.8,100,0.09,TRUE
"11",0.01,0.8,100,0.1,TRUE
"12",0.01,0.8,100,0.11,TRUE
"13",0.01,0.8,100,0.12,TRUE
"14",0.01,0.8,100,0.13,TRUE
"15",0.01,0.8,100,0.14,TRUE
"16",0.01,0.8,100,0.15,TRUE
"17",0.01,0.8,100,0.16,TRUE
"18",0.01,0.8,100,0.17,TRUE
"19",0.01,0.8,100,0.18,TRUE
"20",0.01,0.8,100,0.19,TRUE
"21",0.01,0.8,100,0.2,TRUE
"22",0.01,0.8,100,0.21,TRUE
"23",0.01,0.8,100,0.22,TRUE
"24",0.01,0.8,100,0.23,TRUE
"25",0.01,0.8,100,0.24,TRUE
"26",0.01,0.8,100,0.25,TRUE
"27",0.01,0.8,100,0.26,TRUE
"28",0.01,0.8,100,0.27,TRUE
"29",0.01,0.8,100,0.28,TRUE
"30",0.01,0.8,100,0.29,TRUE
"31",0.01,0.8,100,0.3,TRUE
"32",0.01,0.8,100,0.31,TRUE
"33",0.01,0.8,100,0.32,TRUE
"34",0.01,0.8,100,0.33,TRUE
"35",0.01,0.8,100,0.34,TRUE
"36",0.01,0.8,100,0.35,TRUE
"37",0.01,0.8,100,0.36,TRUE
"38",0.01,0.8,100,0.37,TRUE
"39",0.01,0.8,100,0.38,TRUE
"40",0.01,0.8,100,0.39,TRUE
"41",0.01,0.8,100,0.4,TRUE
"42",0.01,0.8,100,0.41,TRUE
"43",0.01,0.8,100,0.42,TRUE
"44",0.01,0.8,100,0.43,TRUE
"45",0.01,0.8,100,0.44,TRUE
"46",0.01,0.8,100,0.45,TRUE
"47",0.01,0.8,100,0.46,TRUE
"48",0.01,0.8,100,0.47,TRUE
"49",0.01,0.8,100,0.48,TRUE
"50",0.01,0.8,100,0.49,TRUE
"51",0.01,0.8,100,0.5,TRUE
"52",0.01,0.8,100,0.51,TRUE
"53",0.01,0.8,100,0.52,TRUE
"54",0.01,0.8,100,0.53,TRUE
"55",0.01,0.8,100,0.54,TRUE
"56",0.01,0.8,100,0.55,TRUE
"57",0.01,0.8,100,0.56,TRUE
"58",0.01,0.8,100,0.57,TRUE
"59",0.01,0.8,100,0.58,TRUE
"60",0.01,0.8,100,0.59,TRUE
"61",0.01,0.8,100,0.6,TRUE
"62",0.01,0.8,100,0.61,TRUE
"63",0.01,0.8,100,0.62,TRUE
"64",0.01,0.8,100,0.63,TRUE
"65",0.01,0.8,100,0.64,TRUE
"66",0.01,0.8,100,0.65,TRUE
"67",0.01,0.8,100,0.66,TRUE
"68",0.01,0.8,100,0.67,TRUE
"69",0.01,0.8,100,0.68,TRUE
"70",0.01,0.8,100,0.69,TRUE
"71",0.01,0.8,100,0.7,TRUE
"72",0.01,0.8,100,0.71,TRUE
"73",0.01,0.8,100,0.72,TRUE
"74",0.01,0.8,100,0.73,TRUE
"75",0.01,0.8,100,0.74,TRUE
"76",0.01,0.8,100,0.75,TRUE
"77",0.01,0.8,100,0.76,TRUE
"78",0.01,0.8,100,0.77,TRUE
"79",0.01,0.8,100,0.78,TRUE
"80",0.01,0.8,100,0.79,TRUE
"81",0.01,0.8,100,0.8,FALSE
