"","inf_init","max_inf","max_inf1","max_inf2"
"1",0,0,0,0
"2",1,100,3372435873761.64,3372435873761.64
"3",21,100,3379194650730.74,3379194650730.74
"4",41,100,3385923678740.18,3385923678740.18
"5",61,100,3392667865691.26,3392667865691.26
"6",81,100,3399412319442.93,3399412319442.93
"7",101,100,3406163323592.48,3406163323592.48
"8",121,100,3412903296353.64,3412903296353.64
"9",141,100,3419644650807.72,3419644650807.72
"10",161,100,3426388936116.53,3426388936116.53
"11",181,100,3433349841175.14,3433349841175.14
"12",201,100,3439877437605.46,3439877437605.46
"13",221,100,3446622858301.67,3446622858301.67
"14",241,100,3453371026677.54,3453371026677.54
"15",261,100,3460141936004.88,3460141936004.88
"16",281,100,3466854023680.57,3466854023680.57
"17",301,100,3473598879817.44,3473598879817.44
"18",321,100,3480546627805.98,3480546627805.98
"19",341,100,3487086565661.51,3487086565661.51
"20",361,100,3494040765070.18,3494040765070.18
"21",381,100,3500585444141.95,3500585444141.95
"22",401,100,3507319139041.84,3507319139041.84
"23",421,100,3514066281233.54,3514066281233.54
"24",441,100,3520813570212.42,3520813570212.42
"25",461,100,3527553068791.76,3527553068791.76
"26",481,100,3534295909761.59,3534295909761.59
"27",501,100,3541043157505.94,3541043157505.94
"28",521,100,3547790491205.99,3547790491205.99
"29",541,100,3554528487436.24,3554528487436.24
"30",561,100,3561272772133.98,3561272772133.98
"31",581,100,3568016904330.31,3568016904330.31
"32",601,100,3574761172144.02,3574761172144.02
"33",621,100,3581511462694.61,3581511462694.61
"34",641,100,3588249576163.47,3588249576163.47
"35",661,100,3594993773074.12,3594993773074.12
"36",681,100,3601737907491.53,3601737907491.53
"37",701,100,3608482107829.97,3608482107829.97
"38",721,100,3615242675861.33,3615242675861.33
"39",741,100,3621970502403.6,3621970502403.6
"40",761,100,3628715476325.74,3628715476325.74
"41",781,100,3635668935891.99,3635668935891.99
"42",801,100,3642203137773.28,3642203137773.28
"43",821,100,3648947334555.42,3648947334555.42
"44",841,100,3655691529139.69,3655691529139.69
"45",861,100,3662435727381.79,3662435727381.79
"46",881,100,3669179841104.61,3669179841104.61
"47",901,100,3675924071945.29,3675924071945.29
"48",921,100,3682668271718.61,3682668271718.61
"49",941,100,3689412446831.18,3689412446831.18
"50",961,100,3696156647682.75,3696156647682.75
"51",981,100,3702901839424.58,3702901839424.58
"52",1001,100,3709649732448.18,3709649732448.18
"53",1021,100,3716389405156.37,3716389405156.37
"54",1041,100,3723141443409.22,3723141443409.22
"55",1061,100,3729877642958.04,3729877642958.04
"56",1081,100,3736642936135.25,3736642936135.25
"57",1101,100,3743366022747.44,3743366022747.44
"58",1121,100,3750110183688.79,3750110183688.79
"59",1141,100,3756859402792.04,3756859402792.04
"60",1161,100,3763598740616.44,3763598740616.44
"61",1181,100,3770342807606.76,3770342807606.76
"62",1201,100,3777087053204.24,3777087053204.24
"63",1221,100,3783831848402.33,3783831848402.33
"64",1241,100,3790601291968.97,3790601291968.97
"65",1261,100,3797319578341.99,3797319578341.99
"66",1281,100,3804063812652.15,3804063812652.15
"67",1301,100,3810808082204.99,3810808082204.99
"68",1321,100,3817552195328.58,3817552195328.58
"69",1341,100,3824296355831.22,3824296355831.22
"70",1361,100,3831040774189.63,3831040774189.63
"71",1381,100,3837786392010.72,3837786392010.72
"72",1401,100,3844536984043.08,3844536984043.08
"73",1421,100,3851273232625.13,3851273232625.13
"74",1441,100,3858047734656.5,3858047734656.5
"75",1461,100,3864840471459.49,3864840471459.49
"76",1481,100,3871546056735.58,3871546056735.58
"77",1501,100,3878270988887.12,3878270988887.12
"78",1521,100,3884994118441.15,3884994118441.15
"79",1541,100,3891738319841.23,3891738319841.23
"80",1561,100,3898482582268.45,3898482582268.45
"81",1581,100,3905226773735.64,3905226773735.64
"82",1601,100,3911970849076.09,3911970849076.09
"83",1621,100,3918717247771.57,3918717247771.57
"84",1641,100,3925462249851.8,3925462249851.8
"85",1661,100,3932206768192.64,3932206768192.64
"86",1681,100,3938954793523.16,3938954793523.16
"87",1701,100,3945692021705.69,3945692021705.69
"88",1721,100,3952436181803.27,3952436181803.27
"89",1741,100,3959186927180.21,3959186927180.21
"90",1761,100,3965928957360.82,3965928957360.82
"91",1781,100,3972673318622.08,3972673318622.08
"92",1801,100,3979418061626.76,3979418061626.76
"93",1821,100,3986162027932.26,3986162027932.26
"94",1841,100,3992901288915.26,3992901288915.26
"95",1861,100,3999646151639.17,3999646151639.17
"96",1881,100,4006392355983.05,4006392355983.05
"97",1901,100,4013138062844.88,4013138062844.88
"98",1921,100,4019935223856.85,4019935223856.85
"99",1941,100,4026663221796.63,4026663221796.63
"100",1961,100,4033395793728.51,4033395793728.51
"101",1981,100,4040137758526.56,4040137758526.56
"102",2001,100,4047095087544.63,4047095087544.63
"103",2021,100,4053602664587.76,4053602664587.76
"104",2041,100,4060347336723.45,4060347336723.45
"105",2061,100,4067089041002.59,4067089041002.59
"106",2081,100,4073850670701.29,4073850670701.29
"107",2101,100,4080576425405.14,4080576425405.14
"108",2121,100,4087352865704.52,4087352865704.52
"109",2141,100,4094090535663.82,4094090535663.82
"110",2161,100,4100810562201.47,4100810562201.47
"111",2181,100,4107552708495.32,4107552708495.32
"112",2201,100,4114302047061.1,4114302047061.1
"113",2221,100,4121044104544.75,4121044104544.75
"114",2241,100,4127785277263.46,4127785277263.46
"115",2261,100,4134529416873.14,4134529416873.14
"116",2281,100,4141333433491.78,4141333433491.78
"117",2301,100,4148017820522.33,4148017820522.33
"118",2321,100,4154761967319.21,4154761967319.21
"119",2341,100,4161506198813.79,4161506198813.79
"120",2361,100,4168278775682.74,4168278775682.74
"121",2381,100,4174994573800.06,4174994573800.06
"122",2401,100,4181738841099.97,4181738841099.97
"123",2421,100,4188484084673.54,4188484084673.54
"124",2441,100,4195233229150.81,4195233229150.81
"125",2461,100,4201971382792.7,4201971382792.7
"126",2481,100,4208721885649.12,4208721885649.12
"127",2501,100,4215460466685.4,4215460466685.4
"128",2521,100,4222203838942.53,4222203838942.53
"129",2541,100,4228949181235.5,4228949181235.5
"130",2561,100,4235692432540.36,4235692432540.36
"131",2581,100,4242436629411.81,4242436629411.81
"132",2601,100,4249180675054.88,4249180675054.88
"133",2621,100,4255950959348.97,4255950959348.97
"134",2641,100,4262669076220.59,4262669076220.59
"135",2661,100,4269413357890.21,4269413357890.21
"136",2681,100,4276157494177.63,4276157494177.63
"137",2701,100,4282901782936.77,4282901782936.77
"138",2721,100,4289646890623.34,4289646890623.34
"139",2741,100,4296390206658.71,4296390206658.71
"140",2761,100,4303135291784.43,4303135291784.43
"141",2781,100,4309878475377.25,4309878475377.25
"142",2801,100,4316622687550.68,4316622687550.68
"143",2821,100,4323366907931.43,4323366907931.43
"144",2841,100,4330111078764.02,4330111078764.02
"145",2861,100,4336855259355.2,4336855259355.2
"146",2881,100,4343599425497.29,4343599425497.29
"147",2901,100,4350343740605.13,4350343740605.13
"148",2921,100,4357087936517.27,4357087936517.27
"149",2941,100,4363832131578.79,4363832131578.79
"150",2961,100,4370576326802.87,4370576326802.87
"151",2981,100,4377320522639.16,4377320522639.16
